img_id,folder_name,category_id,category_abbre,category_full_name
000001.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000002.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve
000003.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000004.jpg,PERSPECTIVE,21,S-Per,Perspective
000005.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points
000006.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT
000007.jpg,SCATTER,24,P-Scat,Scatter
000008.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT
000009.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points
000010.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT
000011.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000012.jpg,DIFFUSE,20,LS-Dif,Diffuse
000013.jpg,PATTERN,23,PL-Pat,Pattern
000014.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines
000015.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT
000016.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points
000017.jpg,PERSPECTIVE,21,S-Per,Perspective
000018.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point
000019.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points
000020.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points
000021.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points
000022.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT
000023.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape
000024.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000025.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line
000026.jpg,DIFFUSE,20,LS-Dif,Diffuse
000027.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000028.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000029.jpg,PATTERN,23,PL-Pat,Pattern
000030.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points
000031.jpg,PERSPECTIVE,21,S-Per,Perspective
000032.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes
000033.jpg,PATTERN,23,PL-Pat,Pattern
000034.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line
000035.jpg,DIFFUSE,20,LS-Dif,Diffuse
000036.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve
000037.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point
000038.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT
000039.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line
000040.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000041.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape
000042.jpg,PATTERN,23,PL-Pat,Pattern
000043.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes
000044.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000045.jpg,SCATTER,24,P-Scat,Scatter
000046.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT
000047.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve
000048.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle
000049.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve
